gols_mandante,gols_visitante,att_m,def_v,att_v,def_m,pred_gols_mandante,pred_gols_visitante
3,1,0.0,2.0,4.0,2.0,1.4396397719148535,1.7122071377828778
1,1,0.0,0.0,0.0,2.0,1.1196883267932127,0.909598712196107
0,1,1.0,1.0,1.0,1.0,1.4300600613127912,0.9290022421480278
0,0,3.0,2.0,2.0,0.0,2.057264773315146,0.9488196875656887
3,0,2.0,0.0,2.0,2.0,1.4205440964178218,1.24796690963354
1,2,0.0,1.0,1.0,0.0,1.2696250814316423,0.8100411301849163
2,4,2.0,2.0,2.0,2.0,1.8264652136001363,1.24796690963354
1,2,2.0,1.0,1.0,2.0,1.6107682566068247,1.0654337585537748
1,0,1.0,2.0,2.0,1.0,1.6215584983335367,1.0881615566131775
3,2,2.0,0.0,2.0,2.0,1.4205440964178218,1.24796690963354
6,4,2.0,2.0,2.0,4.0,1.8264652136001363,1.6414303243812747
3,3,1.0,3.0,0.0,1.0,1.8387003697620117,0.7931222718455773
2,1,1.5,1.0,1.0,2.0,1.5177270346817486,1.0654337585537748
2,0,1.0,2.0,2.0,1.3333333333333333,1.6215584983335367,1.139016308839945
6,1,1.5,1.6666666666666667,1.6666666666666667,3.0,1.6503620631897813,1.3577523267481149
1,2,1.0,0.0,1.5,1.5,1.2611766896252272,1.0767376919083422
2,0,1.0,1.0,0.5,0.5,1.4300600613127912,0.8015370618135008
2,0,2.5,1.0,2.5,2.5,1.7095131846526304,1.4464260137304308
3,0,3.0,0.5,1.0,2.0,1.703815934391718,1.0654337585537748
4,1,1.5,1.5,0.5,1.0,1.6161543723749572,0.8583777541630951
1,1,0.5,2.0,2.5,0.5,1.5278940102924303,1.0997066251040186
1,1,3.0,1.5,1.5,4.0,1.931972846981482,1.5166457211123645
2,1,1.0,1.0,0.5,1.5,1.4300600613127912,0.9192492823413799
2,1,1.5,4.0,4.0,1.0,2.212731398243972,1.4929546367868984
1,1,2.0,3.0,2.0,1.5,2.0710460134835373,1.1653281147336012
2,1,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.487923281978835,1.0805322585442554
