gols_mandante,gols_visitante,att_m,def_v,att_v,def_m,pred_gols_mandante,pred_gols_visitante,data,time_mandante,time_visitante,campeonato,rodada,resultado
3,1,0.0,2.0,4.0,2.0,1.4396397719148537,1.7122071377828778,2022-01-01,Time8_SerieA,Time1_SerieA,Brasileiro Série A,29,H
1,1,0.0,0.0,0.0,2.0,1.1196883267932127,0.909598712196107,2022-01-08,Time20_SerieA,Time5_SerieA,Brasileiro Série A,15,D
0,1,1.0,1.0,1.0,1.0,1.4300600613127912,0.9290022421480278,2022-01-15,Time4_SerieA,Time8_SerieA,Brasileiro Série A,8,A
0,0,3.0,2.0,2.0,0.0,2.057264773315146,0.9488196875656888,2022-01-22,Time7_SerieA,Time2_SerieA,Brasileiro Série A,21,D
3,0,2.0,0.0,2.0,2.0,1.4205440964178218,1.24796690963354,2022-01-29,Time13_SerieA,Time17_SerieA,Brasileiro Série A,19,H
1,2,0.0,1.0,1.0,0.0,1.2696250814316423,0.8100411301849163,2022-02-05,Time8_SerieA,Time18_SerieA,Brasileiro Série A,23,A
2,4,2.0,2.0,2.0,2.0,1.8264652136001365,1.24796690963354,2022-02-12,Time18_SerieA,Time16_SerieA,Brasileiro Série A,11,A
1,2,2.0,1.0,1.0,2.0,1.6107682566068249,1.0654337585537748,2022-02-19,Time1_SerieA,Time8_SerieA,Brasileiro Série A,11,A
1,0,1.0,2.0,2.0,1.0,1.6215584983335367,1.0881615566131777,2022-02-26,Time10_SerieA,Time3_SerieA,Brasileiro Série A,24,H
3,2,2.0,0.0,2.0,2.0,1.4205440964178218,1.24796690963354,2022-03-05,Time18_SerieA,Time14_SerieA,Brasileiro Série A,36,H
6,4,2.0,2.0,2.0,4.0,1.8264652136001365,1.641430324381275,2022-03-12,Time1_SerieA,Time6_SerieA,Brasileiro Série A,24,H
3,3,1.0,3.0,0.0,1.0,1.838700369762012,0.7931222718455773,2022-03-19,Time15_SerieA,Time17_SerieA,Brasileiro Série A,3,D
2,1,1.5,1.0,1.0,2.0,1.5177270346817486,1.0654337585537748,2022-03-26,Time17_SerieA,Time2_SerieA,Brasileiro Série A,22,H
2,0,1.0,2.0,2.0,1.3333333333333333,1.6215584983335367,1.139016308839945,2022-04-02,Time7_SerieA,Time9_SerieA,Brasileiro Série A,2,H
6,1,1.5,1.6666666666666667,1.6666666666666667,3.0,1.6503620631897813,1.3577523267481149,2022-04-09,Time5_SerieA,Time10_SerieA,Brasileiro Série A,24,H
1,2,1.0,0.0,1.5,1.5,1.2611766896252272,1.0767376919083422,2022-04-16,Time9_SerieA,Time12_SerieA,Brasileiro Série A,30,A
2,0,1.0,1.0,0.5,0.5,1.4300600613127912,0.8015370618135008,2022-04-23,Time7_SerieA,Time18_SerieA,Brasileiro Série A,38,H
2,0,2.5,1.0,2.5,2.5,1.7095131846526304,1.4464260137304308,2022-04-30,Time4_SerieA,Time6_SerieA,Brasileiro Série A,2,H
3,0,3.0,0.5,1.0,2.0,1.703815934391718,1.0654337585537748,2022-05-07,Time8_SerieA,Time17_SerieA,Brasileiro Série A,21,H
4,1,1.5,1.5,0.5,1.0,1.6161543723749572,0.8583777541630951,2022-05-14,Time7_SerieA,Time4_SerieA,Brasileiro Série A,33,H
1,1,0.5,2.0,2.5,0.5,1.5278940102924303,1.0997066251040186,2022-05-21,Time17_SerieA,Time16_SerieA,Brasileiro Série A,12,D
1,1,3.0,1.5,1.5,4.0,1.931972846981482,1.5166457211123645,2022-05-28,Time11_SerieA,Time6_SerieA,Brasileiro Série A,22,D
2,1,1.0,1.0,0.5,1.5,1.4300600613127912,0.91924928234138,2022-06-04,Time10_SerieA,Time9_SerieA,Brasileiro Série A,25,H
2,1,1.5,4.0,4.0,1.0,2.212731398243972,1.4929546367868984,2022-06-11,Time10_SerieA,Time6_SerieA,Brasileiro Série A,27,H
1,1,2.0,3.0,2.0,1.5,2.0710460134835373,1.1653281147336012,2022-06-18,Time8_SerieA,Time9_SerieA,Brasileiro Série A,28,D
2,1,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.487923281978835,1.0805322585442554,2022-06-25,Time4_SerieA,Time9_SerieA,Brasileiro Série A,16,H
3,1,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3775092878202515,1.0250511364002022,2022-07-02,Time20_SerieA,Time11_SerieA,Brasileiro Série A,15,H
3,4,0.6666666666666666,1.3333333333333333,3.0,1.3333333333333333,1.433246194295003,1.3341558323575908,2022-07-09,Time4_SerieA,Time1_SerieA,Brasileiro Série A,3,A
1,1,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.433246194295003,1.0805322585442554,2022-07-16,Time18_SerieA,Time6_SerieA,Brasileiro Série A,37,D
3,2,1.6666666666666667,1.6666666666666667,2.333333333333333,0.3333333333333333,1.683419535572472,1.0469174936857912,2022-07-23,Time3_SerieA,Time19_SerieA,Brasileiro Série A,7,H
1,1,2.0,1.0,2.333333333333333,1.6666666666666667,1.6107682566068249,1.2567784110565268,2022-07-30,Time10_SerieA,Time9_SerieA,Brasileiro Série A,21,D
2,2,3.0,2.333333333333333,3.0,3.333333333333333,2.1452749945241827,1.7547931950575126,2022-08-06,Time17_SerieA,Time16_SerieA,Brasileiro Série A,9,D
1,1,1.3333333333333333,1.6666666666666667,1.0,2.0,1.6179537435923823,1.0654337585537748,2022-08-13,Time8_SerieA,Time7_SerieA,Brasileiro Série A,18,D
3,1,1.6666666666666667,3.0,2.333333333333333,1.3333333333333333,1.990505978967542,1.2006658214454755,2022-08-20,Time8_SerieA,Time11_SerieA,Brasileiro Série A,4,H
3,1,0.6666666666666666,0.3333333333333333,1.3333333333333333,2.333333333333333,1.263986555277669,1.175588212187184,2022-08-27,Time1_SerieA,Time11_SerieA,Brasileiro Série A,25,H
3,1,1.6666666666666667,0.6666666666666666,0.6666666666666666,2.333333333333333,1.4846156008124145,1.0579638091999322,2022-09-03,Time8_SerieA,Time10_SerieA,Brasileiro Série A,14,H
2,4,1.0,0.75,2.0,1.25,1.3858291498827326,1.1260840356268331,2022-09-10,Time11_SerieA,Time10_SerieA,Brasileiro Série A,9,A
0,2,1.6,1.0,1.25,1.2,1.5358950777610574,0.9933169687739756,2022-09-17,Time16_SerieA,Time7_SerieA,Brasileiro Série A,26,A
1,1,1.75,1.25,1.5,1.5,1.613459066973162,1.0767376919083422,2022-09-24,Time14_SerieA,Time19_SerieA,Brasileiro Série A,2,D
3,0,1.6,1.75,3.25,1.2,1.6877002147535596,1.3628281253988337,2022-10-01,Time12_SerieA,Time16_SerieA,Brasileiro Série A,20,H
4,1,2.6,3.0,2.0,2.0,2.2243187289672006,1.24796690963354,2022-10-08,Time14_SerieA,Time4_SerieA,Brasileiro Série A,28,H
1,0,0.75,1.5,1.0,1.25,1.4781678531338176,0.9613780119198884,2022-10-15,Time2_SerieA,Time15_SerieA,Brasileiro Série A,7,H
1,1,1.25,1.25,1.5,1.75,1.520262418416461,1.1142620487250767,2022-10-22,Time9_SerieA,Time18_SerieA,Brasileiro Série A,8,D
0,0,1.25,1.25,2.0,2.0,1.520262418416461,1.24796690963354,2022-10-29,Time20_SerieA,Time4_SerieA,Brasileiro Série A,35,D
3,1,2.0,3.0,2.75,2.0,2.0710460134835373,1.4051106724147897,2022-11-05,Time20_SerieA,Time17_SerieA,Brasileiro Série A,14,H
4,4,0.75,2.75,1.5,1.25,1.7296040023515211,1.0404770210944834,2022-11-12,Time3_SerieA,Time4_SerieA,Brasileiro Série A,17,D
1,0,1.5,2.0,2.25,1.25,1.720964900578707,1.171493695431005,2022-11-19,Time16_SerieA,Time14_SerieA,Brasileiro Série A,36,H
2,1,1.25,2.25,2.75,1.0,1.7238397959434413,1.2251826588556314,2022-11-26,Time2_SerieA,Time5_SerieA,Brasileiro Série A,4,H
1,0,1.25,1.75,1.25,2.0,1.618854180321228,1.1083976786424523,2022-12-03,Time2_SerieA,Time1_SerieA,Brasileiro Série A,2,H
1,1,1.8,1.8,3.0,1.8,1.7392418610031752,1.4222559140863376,2022-12-10,Time6_SerieA,Time7_SerieA,Brasileiro Série A,6,D
3,1,1.6,1.8,1.2,1.0,1.6983383747146503,0.9588531194511032,2022-12-17,Time1_SerieA,Time18_SerieA,Brasileiro Série A,4,H
0,3,1.4,1.0,1.4,1.2,1.499773900676706,1.017160173127816,2022-12-24,Time19_SerieA,Time7_SerieA,Brasileiro Série A,29,A
